Date,btc_price,eth_price
2021-08-29,48897.65,3227.002686
2021-08-28,49056.86,3244.40332
2021-08-27,46962.8,3270.60083
2021-08-26,48972.09,3100.325439
2021-08-25,47744.58,3224.915283
2021-08-24,49523.5,3172.456299
2021-08-23,49335.68,3319.257324
2021-08-22,48932.02,3242.115479
2021-08-21,49327.75,3226.083984
2021-08-20,46734.65,3286.935303
2021-08-19,44777.86,3182.702148
2021-08-18,44648.57,3020.089844
2021-08-17,45982.55,3014.845947
2021-08-16,47056.41,3156.509521
2021-08-15,47112.19,3310.50415
2021-08-14,47833.98,3265.443359
2021-08-13,44417.78,3322.21167
2021-08-12,45611.46,3043.414307
2021-08-11,45608.37,3164.245117
2021-08-10,46333.46,3141.691162
2021-08-09,43816.14,3167.856201
2021-08-08,44634.13,3013.732666
2021-08-07,42825.95,3157.23877
2021-08-06,40882,2890.94165
2021-08-05,39750.14,2827.328857
2021-08-04,38138,2724.619873
2021-08-03,39193.94,2502.349609
2021-08-02,40000.46,2610.15332
2021-08-01,41659.06,2561.852051
2021-07-31,42214.15,2536.209961
2021-07-30,40005.93,2466.961426
2021-07-29,40002.53,2380.956787
2021-07-28,39405.95,2296.54541
2021-07-27,37318.14,2298.333496
2021-07-26,35365.2,2233.366699
2021-07-25,34279.34,2191.373779
2021-07-24,33581.63,2189.21875
2021-07-23,32297.89,2124.776611
2021-07-22,32118.06,2025.202759
2021-07-21,29790.24,1990.970825
2021-07-20,30815.94,1787.510742
2021-07-19,31783.49,1817.296631
2021-07-18,31520.66,1895.552124
2021-07-17,31421.25,1898.825195
2021-07-16,31738.59,1880.382935
2021-07-15,32814.61,1911.175659
2021-07-14,32686.56,1994.331299
2021-07-13,33158.25,1940.083984
2021-07-12,34227.64,2036.721069
2021-07-11,33515.57,2139.664795
2021-07-10,33818.52,2111.403564
2021-07-09,32877.41,2146.692383
2021-07-08,33839.04,2120.026367
2021-07-07,34211.01,2315.161865
2021-07-06,33747.97,2324.679443
2021-07-05,35309.3,2198.58252
2021-07-04,34688.98,2321.724121
2021-07-03,33856.86,2226.114258
2021-07-02,33536.88,2150.040283
2021-07-01,35047.36,2113.605469
2021-06-30,35847.7,2274.547607
2021-06-29,34456.67,2160.768311
2021-06-28,34644.45,2079.657471
2021-06-27,32160.91,1978.894653
2021-06-26,31640.58,1829.239258
2021-06-25,34639.38,1813.217285
2021-06-24,33674.66,1988.456299
2021-06-23,32447.59,1989.736328
2021-06-22,31686.55,1874.950073
2021-06-21,35592.35,1888.44751
2021-06-20,35524.17,2246.364502
2021-06-19,35729.82,2178.499023
2021-06-18,38068.04,2231.733154
2021-06-17,38324.87,2372.001953
2021-06-16,40188.56,2367.663574
2021-06-15,40525.8,2610.936768
2021-06-14,39066.82,2537.891113
2021-06-13,35494.9,2508.391602
2021-06-12,37313.18,2372.484375
2021-06-11,36704.57,2353.768799
2021-06-10,37338.36,2471.518555
2021-06-09,33450.19,2608.26709
2021-06-08,33514.87,2517.438721
2021-06-07,35816.17,2590.263184
2021-06-06,35530.38,2715.092773
2021-06-05,36885.51,2630.576904
2021-06-04,39188.59,2688.195068
2021-06-03,37585.24,2855.126465
2021-06-02,36662.64,2706.125
2021-06-01,37310.54,2633.518311
2021-05-31,35684.59,2714.945313
2021-05-30,34647.67,2390.30542
2021-05-29,35689.62,2279.51416
2021-05-28,38445.29,2419.90625
2021-05-27,39266.04,2736.488525
2021-05-26,38410.5,2888.69873
2021-05-25,38728.59,2706.628906
2021-05-24,34754.54,2643.591064
2021-05-23,37528.3,2109.579834
2021-05-22,37280.35,2295.705566
2021-05-21,40784.32,2430.621338
2021-05-20,36964.27,2784.294189
2021-05-19,42912.19,2460.679199
2021-05-18,43596.24,3380.070068
2021-05-17,46441.64,3282.397705
2021-05-16,46736.58,3587.506104
2021-05-15,49922.52,3638.12207
2021-05-14,49702.27,4079.057373
2021-05-13,49007.09,3715.148438
2021-05-12,56750,3785.848633
2021-05-11,55883.5,4168.701172
2021-05-10,58280.73,3952.293945
2021-05-09,58928.81,3928.844727
2021-05-08,57380.27,3902.647705
2021-05-07,56428.16,3484.729004
2021-05-06,57473.23,3490.880371
2021-05-05,53241.72,3522.783203
2021-05-04,57213.33,3253.629395
2021-05-03,56610.46,3431.086182
2021-05-02,57857.5,2952.056152
2021-05-01,57796.62,2945.892822
2021-04-30,53584.15,2773.207031
2021-04-29,54884.1,2756.876953
2021-04-28,55071.46,2746.380127
2021-04-27,54056.64,2662.865234
2021-04-26,49075.58,2534.481689
2021-04-25,50110.53,2316.05957
2021-04-24,51153.13,2211.625732
2021-04-23,51731.71,2363.586182
2021-04-22,53808.8,2403.535156
2021-04-21,56507.91,2364.751709
2021-04-20,55703.14,2330.210938
2021-04-19,56251.48,2166.188721
2021-04-18,60087.09,2237.136963
2021-04-17,61455.98,2344.89502
2021-04-16,63252.63,2431.946533
2021-04-15,62969.12,2519.116211
2021-04-14,63554.44,2435.10498
2021-04-13,59834.74,2299.187744
2021-04-12,59964.87,2139.353271
2021-04-11,59774,2157.656982
2021-04-10,58102.58,2135.942139
2021-04-09,58048.59,2072.108887
2021-04-08,55947.27,2088.57373
2021-04-07,58020.46,1971.077271
2021-04-06,59054.1,2118.378906
2021-04-05,58206.55,2107.887207
2021-04-04,57076.49,2093.122803
2021-04-03,59031.32,2028.422485
2021-04-02,58736.92,2143.225586
2021-04-01,58735.25,1977.276855
2021-03-31,58730.13,1918.362061
2021-03-30,57627.67,1846.033691
2021-03-29,55783.71,1819.684937
2021-03-28,55863.93,1691.355957
2021-03-27,55074.47,1716.494629
2021-03-26,51415.92,1702.842041
2021-03-25,52508.23,1595.359253
2021-03-24,54477.46,1593.413452
2021-03-23,54204.96,1678.650146
2021-03-22,57411.17,1691.333984
2021-03-21,58085.8,1788.217041
2021-03-20,58075.1,1812.634644
2021-03-19,57665.9,1817.624146
2021-03-18,58913,1782.855103
2021-03-17,56872.38,1823.449341
2021-03-16,55754.72,1806.971802
2021-03-15,59133.47,1791.702271
2021-03-14,61258.73,1854.564331
2021-03-13,57253.28,1924.685425
2021-03-12,57764,1772.102417
2021-03-11,55997.23,1826.194946
2021-03-10,54881.52,1799.16626
2021-03-09,52299.33,1868.048828
2021-03-08,51169.7,1834.727905
2021-03-07,48881.59,1723.153809
2021-03-06,48861.38,1654.741577
2021-03-05,48448.91,1533.275024
2021-03-04,50477.7,1541.914307
2021-03-03,48356.04,1575.853149
2021-03-02,49618.43,1492.608765
2021-03-01,45113.92,1564.707642
2021-02-28,46155.87,1416.04895
2021-02-27,46340.31,1459.973145
2021-02-26,46800.42,1446.033691
2021-02-25,50624.84,1475.703735
2021-02-24,48880.43,1626.575684
2021-02-23,54123.4,1570.203979
2021-02-22,57487.86,1781.99292
2021-02-21,56001.2,1935.601074
2021-02-20,55916.5,1919.534058
2021-02-19,51608.15,1960.164795
2021-02-18,52118.23,1937.449219
2021-02-17,49160.1,1848.458252
2021-02-16,47951.85,1781.067505
2021-02-15,48720.37,1779.791016
2021-02-14,47185.19,1805.084106
2021-02-13,47471.4,1814.109863
2021-02-12,48013.38,1843.532593
2021-02-11,44878.17,1783.797974
2021-02-10,46589.58,1744.243408
2021-02-09,46364.3,1768.035034
2021-02-08,38928.1,1746.616821
2021-02-07,39323.26,1614.227783
2021-02-06,38278.61,1677.846802
2021-02-05,37002.09,1718.650879
2021-02-04,37676.25,1594.762695
2021-02-03,35529.66,1660.909546
2021-02-02,33522.9,1515.193726
2021-02-01,33136.46,1369.040527
2021-01-31,34318.1,1314.986206
2021-01-30,34314.26,1376.115479
2021-01-29,33403.17,1382.522827
2021-01-28,30419.17,1332.492188
2021-01-27,32541.8,1253.187134
2021-01-26,32243.26,1357.058105
2021-01-25,32276.84,1324.414795
2021-01-24,32099.74,1391.609375
2021-01-23,33002.38,1230.990601
2021-01-22,30797.88,1236.512207
2021-01-21,35538.98,1121.570923
2021-01-20,36020.13,1382.274048
2021-01-19,36632.35,1377.295898
2021-01-18,35793.01,1257.279541
2021-01-17,36065.2,1230.172241
2021-01-16,36828.52,1233.537598
2021-01-15,39158.47,1171.834595
2021-01-14,37393.13,1218.453003
2021-01-13,34011.82,1130.73938
2021-01-12,35544.94,1043.43457
2021-01-11,38240.09,1090.145386
2021-01-10,40240.72,1262.246704
2021-01-09,40670.25,1281.077271
2021-01-08,39486.04,1224.197144
2021-01-07,36860.41,1225.678101
2021-01-06,34046.67,1207.112183
2021-01-05,32035.03,1100.006104
2021-01-04,33000.78,1040.233032
2021-01-03,32195.46,975.50769
2021-01-02,29393.75,774.534973
2021-01-01,28982.56,730.367554
2020-12-31,28856.59,737.803406
2020-12-30,27376.37,751.618958
2020-12-29,27036.69,731.520142
2020-12-28,26246.58,730.397339
2020-12-27,26443.21,682.642334
2020-12-26,24693.58,635.835815
2020-12-25,23715.53,626.410706
2020-12-24,23253.37,611.607178
2020-12-23,23824.99,583.7146
2020-12-22,22745.48,634.854187
2020-12-21,23490.58,609.817871
2020-12-20,23869.92,638.290833
2020-12-19,23150.79,659.297913
2020-12-18,22847.46,654.811951
2020-12-17,21379.48,642.868958
2020-12-16,19439.75,636.181824
2020-12-15,19276.59,589.355591
2020-12-14,19164.48,586.011169
2020-12-13,18803.44,589.663208
2020-12-12,18029.36,568.567322
2020-12-11,18247.76,545.797363
2020-12-10,18554.15,559.678528
2020-12-09,18318.87,573.479126
2020-12-08,19181.41,554.827759
2020-12-07,19377.66,591.843384
2020-12-06,19155.06,601.908997
2020-12-05,18670.49,596.595459
2020-12-04,19454.54,569.354187
2020-12-03,19226.97,616.70874
2020-12-02,18792.52,598.352356
2020-12-01,19709.73,587.324158
2020-11-30,18191.6,614.842529
2020-11-29,17732.42,575.758057
2020-11-28,17138.87,538.229797
2020-11-27,17151.44,517.493713
2020-11-26,18739.8,518.801147
2020-11-25,19172.52,570.686646
2020-11-24,18398.91,603.897766
2020-11-23,18422.28,608.454041
2020-11-22,18699.75,558.068115
2020-11-21,18687.45,549.486633
2020-11-20,17820.57,509.744568
2020-11-19,17798.45,471.630432
2020-11-18,17679.72,479.48407
2020-11-17,16725.15,480.360077
2020-11-16,15968.16,459.940308
2020-11-15,16091.07,447.559082
2020-11-14,16339.33,460.149841
2020-11-13,16295.57,474.626434
2020-11-12,15708.65,461.00528
2020-11-11,15317.04,462.960541
2020-11-10,15328.53,449.679626
2020-11-09,15490.6,444.163055
2020-11-08,14839.84,453.554779
2020-11-07,15595.77,435.713135
2020-11-06,15591.39,454.719299
2020-11-05,14155.59,414.067352
2020-11-04,14023.31,402.141998
2020-11-03,13575.17,387.602173
2020-11-02,13758.88,383.156738
2020-11-01,13810.32,396.358185
2020-10-31,13564.72,386.590332
2020-10-30,13458.66,382.819977
2020-10-29,13289,386.730103
2020-10-28,13651.47,388.650757
2020-10-27,13076.37,403.99704
2020-10-26,13036.77,393.888306
2020-10-25,13128.46,406.217773
2020-10-24,12944.52,412.457611
2020-10-23,12990.25,409.766693
2020-10-22,12831.56,413.77298
2020-10-21,11925.46,392.189972
2020-10-20,11758.16,369.136902
2020-10-19,11508.2,379.935608
2020-10-18,11366.51,378.213684
2020-10-17,11327.57,368.855927
2020-10-16,11503.73,366.229004
2020-10-15,11431.32,377.441833
2020-10-14,11428.24,379.484039
2020-10-13,11540.04,381.190765
2020-10-12,11376.61,387.731262
2020-10-11,11302.67,375.142059
2020-10-10,11063.19,370.96759
2020-10-09,10923.3,365.590485
2020-10-08,10670.8,350.766144
2020-10-07,10603.74,341.808655
2020-10-06,10788.56,340.815857
2020-10-05,10673.46,353.956787
2020-10-04,10551.77,352.57901
2020-10-03,10575.06,346.522095
2020-10-02,10619.24,346.238922
2020-10-01,10777.92,353.205902
2020-09-30,10840.8,359.937866
2020-09-29,10692.33,359.757385
2020-09-28,10774.24,355.159424
2020-09-27,10732.4,357.438507
2020-09-26,10692.84,355.488098
2020-09-25,10732.43,352.183258
2020-09-24,10234.48,349.355591
2020-09-23,10532.22,321.116302
2020-09-22,10430.46,344.503174
2020-09-21,10919.65,341.786072
2020-09-20,11081.43,371.052826
2020-09-19,10931.79,385.544373
2020-09-18,10943.89,384.364532
2020-09-17,10948.43,389.019226
2020-09-16,10785.62,365.812286
2020-09-15,10674.64,364.839203
2020-09-14,10330.77,377.26886
2020-09-13,10446.44,365.570007
2020-09-12,10395.44,387.183105
2020-09-11,10352.66,374.695587
2020-09-10,10227.83,368.101898
2020-09-09,10121.52,351.110016
2020-09-08,10367.74,337.602112
2020-09-07,10254.93,352.673492
2020-09-06,10159.62,353.362274
2020-09-05,10467.89,335.260071
2020-09-04,10187.51,388.24115
2020-09-03,11397.44,385.671936
2020-09-02,11923.25,440.040497
2020-09-01,11659.57,477.05191
2020-08-31,11707.78,435.079742
2020-08-30,11481.64,428.395721
2020-08-29,11534.75,399.921478
2020-08-28,11302.01,395.874664
2020-08-27,11467.37,382.632629
2020-08-26,11337.4,386.466125
2020-08-25,11763.93,384.001038
2020-08-24,11653.02,408.144196
2020-08-23,11683.44,391.384491
2020-08-22,11522.8,395.835144
2020-08-21,11865.82,389.126343
2020-08-20,11734,416.439789
2020-08-19,11969.53,406.463776
2020-08-18,12293.72,423.669312
2020-08-17,11914.01,429.53125
2020-08-16,11873.98,433.786621
2020-08-15,11774.38,433.354919
2020-08-14,11777.43,437.397827
2020-08-13,11573.11,428.741791
2020-08-12,11392.43,391.02417
2020-08-11,11893.03,380.384064
2020-08-10,11684.06,395.887573
2020-08-09,11767.6,391.120453
2020-08-08,11605.6,393.987366
2020-08-07,11772.94,379.512848
2020-08-06,11750.28,394.961945
2020-08-05,11194.25,401.590576
2020-08-04,11242.57,389.875488
2020-08-03,11077.77,386.295166
2020-08-02,11823.69,370.671722
2020-08-01,11343.88,385.199707
2020-07-31,11114.93,345.554657
2020-07-30,11102.67,334.586639
2020-07-29,10934.94,318.190887
2020-07-28,11042.4,316.657257
2020-07-27,9938.83,321.514099
2020-07-26,9707.5,309.643616
2020-07-25,9551.28,304.056763
2020-07-24,9613.11,279.215424
2020-07-23,9537.4,274.689056
2020-07-22,9392.66,262.190643
2020-07-21,9163.87,245.016724
2020-07-20,9214.66,236.153168
2020-07-19,9174.71,238.487518
2020-07-18,9154.19,235.48381
2020-07-17,9131,232.773087
2020-07-16,9193.51,233.640884
2020-07-15,9254.52,238.423523
2020-07-14,9238.13,240.211487
2020-07-13,9295.9,239.604584
2020-07-12,9235.96,242.131699
2020-07-11,9287.4,239.458176
2020-07-10,9238.04,240.984985
2020-07-09,9440.07,243.015961
2020-07-08,9256.23,246.670013
2020-07-07,9348.91,239.075531
